Time (UTC)	Intensity
2025-06-11 03:17:06.000363525+00:00	1.640554e+11
2025-06-11 03:17:07.000363525+00:00	1.640707e+11
2025-06-11 03:17:19.000363525+00:00	1.640841e+11
2025-06-11 03:17:23.000363525+00:00	1.640843e+11
2025-06-11 03:17:31.000363525+00:00	1.640822e+11
2025-06-11 03:17:34.000363525+00:00	1.640801e+11
2025-06-11 03:17:38.000363525+00:00	1.640670e+11
2025-06-11 03:17:41.000363525+00:00	1.640725e+11
2025-06-11 03:17:42.000363525+00:00	1.640820e+11
2025-06-11 03:17:46.000363525+00:00	1.640568e+11
2025-06-11 03:17:51.000363525+00:00	1.640644e+11
2025-06-11 03:18:02.000363525+00:00	1.640630e+11
2025-06-11 03:18:05.000363525+00:00	1.640475e+11
2025-06-11 03:18:16.000363525+00:00	1.640491e+11
2025-06-11 03:18:18.000363525+00:00	1.640598e+11
2025-06-11 03:18:24.000363525+00:00	1.640489e+11
2025-06-11 03:18:27.000363525+00:00	1.640440e+11
2025-06-11 03:18:32.000363525+00:00	1.640364e+11
2025-06-11 03:18:36.000363525+00:00	1.640382e+11
2025-06-11 03:18:48.000363525+00:00	1.640343e+11
2025-06-11 03:18:52.000363525+00:00	1.640322e+11
2025-06-11 03:18:53.000363525+00:00	1.640255e+11
2025-06-11 03:18:55.000363525+00:00	1.640299e+11
2025-06-11 03:18:58.000363525+00:00	1.640204e+11
2025-06-11 03:19:00.000363525+00:00	1.640267e+11
2025-06-11 03:19:27.000363525+00:00	1.640179e+11
2025-06-11 03:19:34.000363525+00:00	1.640257e+11
2025-06-11 03:19:37.000363525+00:00	1.640294e+11
2025-06-11 03:19:39.000363525+00:00	1.640167e+11
2025-06-11 03:19:41.000363525+00:00	1.640382e+11
2025-06-11 03:19:43.000363525+00:00	1.640095e+11
2025-06-11 03:19:46.000363525+00:00	1.639794e+11
2025-06-11 03:19:53.000363525+00:00	1.639753e+11
2025-06-11 03:19:55.000363525+00:00	1.639674e+11
2025-06-11 03:19:59.000363525+00:00	1.639588e+11
2025-06-11 03:20:01.000363525+00:00	1.639628e+11
2025-06-11 03:20:13.000363525+00:00	1.639514e+11
2025-06-11 03:20:23.000363525+00:00	1.639436e+11
